Total Cases,Deaths,Recovered,Date,Currently Positive
7.512762242667992e-06,1.9901356934219846e-07,4.9753392335549615e-08,2/26/20,7.263995280990243e-06
1.0862823993261666e-05,2.8193588990144784e-07,7.463008850332442e-07,2/27/20,9.834587218326974e-06
1.4727004131322686e-05,3.482737463488473e-07,7.628853491450941e-07,2/28/20,1.3615845035828744e-05
1.8707275518166654e-05,4.809494592436462e-07,7.628853491450941e-07,2/29/20,1.7463440709777915e-05
2.8094082205473683e-05,5.638717798028957e-07,1.3765105212835394e-06,3/1/20,2.6153699904387246e-05
3.3765968931726336e-05,8.623921338161934e-07,2.471085152665631e-06,3/2/20,3.043249164524451e-05
4.149432920784838e-05,1.3101726648361398e-06,2.6535142578959796e-06,3/3/20,3.753064228511626e-05
5.122940964150425e-05,1.7745376599679364e-06,4.577312094870565e-06,3/4/20,4.487755988666575e-05
6.39828625435168e-05,2.454500688553781e-06,6.8659681423058465e-06,3/5/20,5.4662393712657175e-05
7.6885575622536e-05,3.267139430034425e-06,8.673674730497482e-06,3/6/20,6.49447614620041e-05
9.756640237001279e-05,3.86418013806102e-06,9.768249361879575e-06,3/7/20,8.393397287007219e-05
0.00012231042282489281,6.069913864937053e-06,1.031553667757062e-05,3/8/20,0.00010592497228238513
0.000152112704833887,7.67860688378649e-06,1.2007152016979307e-05,3/9/20,0.00013242694593312122
0.00016831572627116435,1.0464796854577269e-05,1.2007152016979307e-05,3/10/20,0.00014584377739960776
0.0002066755917618731,1.3715351820499844e-05,1.7330764996883116e-05,3/11/20,0.00017562947494449013
0.0002506410061223871,1.684981553763947e-05,1.7330764996883116e-05,3/12/20,0.00021646042558786454
0.0002928816362152687,2.099593156560194e-05,2.3865043856951964e-05,3/13/20,0.0002480206607927148
0.0003508775072144077,2.3898212785175666e-05,3.260505644389685e-05,3/14/20,0.0002943742379853352
0.00041041573337594875,3.0001295578336417e-05,3.872472370116945e-05,3/15/20,0.0003416897140964429
