Total Cases,Deaths,Recovered,Total Cases Number,Deaths Number,Recovered Number,Date,Currently Positive,Currently Positive Number
0.00013787193095878876,6.01404278991445e-07,4.375216129662762e-05,917,4,291,3/31/20,9.351836538316969e-05,622
0.0001455398355159297,6.01404278991445e-07,5.157041692351641e-05,968,4,343,4/1/20,9.336801431342184e-05,621
0.00015576370825878426,7.517553487393063e-07,6.344815143359745e-05,1036,5,422,4/2/20,9.15638014764475e-05,609
0.00016313091067642947,1.0524574882350288e-06,7.156710919998196e-05,1085,7,476,4/3/20,9.051134398821248e-05,602
0.0001676414427688653,1.20280855798289e-06,7.923501375712288e-05,1115,8,527,4/4/20,8.720362045375954e-05,580
0.00017064846416382253,1.20280855798289e-06,8.61511629655245e-05,1135,8,573,4/5/20,8.329449264031514e-05,554
0.00017410653876802332,1.5035106974786126e-06,9.321766324367398e-05,1158,10,620,4/6/20,7.938536482687073e-05,528
0.00017906812406970275,1.6538617672264738e-06,9.321766324367398e-05,1191,11,620,4/7/20,8.41965990588023e-05,560
0.00018222549653440785,1.804212836974335e-06,9.321766324367398e-05,1212,12,620,4/8/20,8.720362045375954e-05,580
0.00018463111365037363,1.804212836974335e-06,0.00011065838733442588,1228,12,736,4/9/20,7.216851347897342e-05,480
0.00018658567755709581,1.9545639067221964e-06,0.00013922509058651952,1241,13,926,4/10/20,4.540602306385408e-05,302
0.00019019410323104448,2.1049149764700576e-06,0.00013922509058651952,1265,14,926,4/11/20,4.88640976680549e-05,325
0.00019064515644028808,2.1049149764700576e-06,0.00013922509058651952,1268,14,926,4/12/20,4.93151508772985e-05,328
0.00019259972034701026,2.1049149764700576e-06,0.00013922509058651952,1281,14,926,4/13/20,5.126971478402068e-05,341
0.00019410323104448887,2.1049149764700576e-06,0.00016809249597810887,1291,14,1118,4/14/20,2.3905820089909944e-05,159
0.00019530603960247176,2.1049149764700576e-06,0.00016809249597810887,1299,14,1118,4/15/20,2.5108628647892834e-05,167
0.00019530603960247176,2.1049149764700576e-06,0.00017094916630331825,1299,14,1137,4/16/20,2.2251958322683457e-05,148
0.00019575709281171536,2.1049149764700576e-06,0.0001742568898377712,1302,14,1159,4/17/20,1.9395287997474108e-05,129
0.000198313060997429,2.1049149764700576e-06,0.0001762114537444934,1319,14,1172,4/18/20,1.9996692276465526e-05,133
0.00019966622062515975,2.1049149764700576e-06,0.0001762114537444934,1328,14,1172,4/19/20,2.134985190419629e-05,142
0.0001998165716949076,2.1049149764700576e-06,0.00017981987941844207,1329,14,1196,4/20/20,1.789177729999547e-05,119
0.00020086902918314264,2.1049149764700576e-06,0.00018072198583692924,1336,14,1202,4/21/20,1.8042128369743344e-05,120
0.00020086902918314264,2.1049149764700576e-06,0.00018688637969659154,1336,14,1243,4/22/20,1.1877734510081048e-05,79
0.0002010193802528905,2.40561711596578e-06,0.00018808918825457443,1337,16,1251,4/23/20,1.0524574882350284e-05,70
0.00020192148667137766,2.40561711596578e-06,0.00018854024146381802,1343,16,1254,4/24/20,1.0975628091593854e-05,73
0.00020237253988062125,2.40561711596578e-06,0.0001897430500218009,1346,16,1262,4/25/20,1.0223872742854561e-05,68
0.00020282359308986482,2.555968185713641e-06,0.00019019410323104448,1349,17,1265,4/26/20,1.0073521673106687e-05,67
0.00020282359308986482,2.555968185713641e-06,0.00019244936927726241,1349,17,1280,4/27/20,7.818255626888755e-06,52
0.00020357534843860414,2.7063192554615024e-06,0.00019350182676549743,1354,18,1287,4/28/20,7.367202417645212e-06,49
0.00020462780592683916,2.7063192554615024e-06,0.00019410323104448887,1361,18,1291,4/29/20,7.818255626888782e-06,52
0.00020507885913608276,2.7063192554615024e-06,0.0001944039331839846,1364,18,1293,4/30/20,7.968606696636657e-06,53
0.00020613131662431777,2.7063192554615024e-06,0.00019545639067221964,1371,18,1300,5/1/20,7.96860669663663e-06,53
0.00020808588053103998,2.7063192554615024e-06,0.00019545639067221964,1384,18,1300,5/2/20,9.923170603358839e-06,66
0.00021139360406549293,2.7063192554615024e-06,0.00019545639067221964,1406,18,1300,5/3/20,1.3230894137811785e-05,88
0.00021394957225120658,2.7063192554615024e-06,0.0001971102524394461,1423,18,1311,5/4/20,1.413300055629898e-05,94
0.0002165055404369202,2.7063192554615024e-06,0.0001986137631369247,1440,18,1321,5/5/20,1.5185458044533995e-05,101
0.00021861045541339026,2.7063192554615024e-06,0.00019876411420667258,1454,18,1322,5/6/20,1.7140021951256177e-05,114
0.00022056501932011247,2.7063192554615024e-06,0.00019951586955541188,1467,18,1327,5/7/20,1.8342830509239093e-05,122
0.00022071537038986032,2.7063192554615024e-06,0.00019951586955541188,1468,18,1327,5/8/20,1.849318157898694e-05,123
0.0002235720407150697,2.7063192554615024e-06,0.00020086902918314264,1487,18,1336,5/9/20,1.9996692276465553e-05,133
0.00022492520034280043,2.7063192554615024e-06,0.00020237253988062125,1496,18,1346,5/10/20,1.9846341206717678e-05,132
0.00022718046638901836,2.7063192554615024e-06,0.0002044774548570913,1511,18,1360,5/11/20,1.9996692276465553e-05,133
0.00022763151959826193,2.7063192554615024e-06,0.00020823623160078783,1514,18,1385,5/12/20,1.6688968742012607e-05,111
0.00022868397708649698,2.7063192554615024e-06,0.00020823623160078783,1521,18,1385,5/13/20,1.774142623024765e-05,118
0.00023154064741170633,2.7063192554615024e-06,0.0002115439551352408,1540,18,1407,5/14/20,1.7290373021004024e-05,115
0.0002331945091789328,2.7063192554615024e-06,0.0002130474658327194,1551,18,1417,5/15/20,1.74407240907519e-05,116
0.00023424696666716783,2.7063192554615024e-06,0.0002130474658327194,1558,18,1417,5/16/20,1.8493181578986914e-05,123
0.000235149073085655,2.7063192554615024e-06,0.00021635518936717236,1564,18,1439,5/17/20,1.6087564463021135e-05,107
0.00023650223271338576,2.7063192554615024e-06,0.00021861045541339026,1573,18,1454,5/18/20,1.5185458044533995e-05,101
0.00023650223271338576,2.7063192554615024e-06,0.00021861045541339026,1573,18,1454,5/19/20,1.5185458044533995e-05,101
0.00023770504127136865,2.7063192554615024e-06,0.00022146712573859964,1581,18,1473,5/20/20,1.3531596277307508e-05,90
0.00023950925410834298,2.7063192554615024e-06,0.0002223692321570868,1593,18,1479,5/21/20,1.4433702695794675e-05,96
0.00023950925410834298,2.7063192554615024e-06,0.0002223692321570868,1593,18,1479,5/22/20,1.4433702695794675e-05,96
0.0002410127648058216,2.856670325209364e-06,0.00022522590248229616,1603,19,1498,5/23/20,1.2930191998316063e-05,86
0.00024131346694531732,2.856670325209364e-06,0.0002285336260167491,1605,19,1520,5/24/20,9.923170603358839e-06,66
0.0002420652222940566,2.856670325209364e-06,0.0002304881899234713,1610,19,1533,5/25/20,8.720362045375922e-06,58
0.0002432680308520395,2.856670325209364e-06,0.0002304881899234713,1618,19,1533,5/26/20,9.923170603358812e-06,66
0.00024477154154951814,2.856670325209364e-06,0.00023214205169069777,1628,19,1544,5/27/20,9.772819533610991e-06,65
0.0002456736479680053,2.856670325209364e-06,0.00023214205169069777,1634,19,1544,5/28/20,1.0674925952098131e-05,71
0.00024732750973523177,2.856670325209364e-06,0.00023349521131842854,1645,19,1553,5/29/20,1.0975628091593854e-05,73
0.0002479289140142232,2.856670325209364e-06,0.00023409661559741998,1649,19,1557,5/30/20,1.0975628091593854e-05,73
0.00024853031829321465,2.856670325209364e-06,0.00023454766880666355,1653,19,1560,5/31/20,1.1125979161341729e-05,74
0.0002500338289906933,2.856670325209364e-06,0.00023499872201590715,1663,19,1563,6/1/20,1.217843664957677e-05,81
0.0002510862864789283,2.856670325209364e-06,0.00023590082843439431,1670,19,1569,6/2/20,1.2328787719324591e-05,82
0.00025228909503691117,2.856670325209364e-06,0.00023590082843439431,1678,19,1569,6/3/20,1.353159627730748e-05,90
0.00025274014824615477,2.856670325209364e-06,0.00023845679662010794,1681,19,1586,6/4/20,1.1426681300837451e-05,76
0.00025274014824615477,2.856670325209364e-06,0.00023845679662010794,1681,19,1586,6/5/20,1.1426681300837451e-05,76
0.0002533415525251462,2.856670325209364e-06,0.00023950925410834298,1685,19,1593,6/6/20,1.0975628091593854e-05,73
0.00025364225466464196,2.856670325209364e-06,0.0002398099562478387,1687,19,1595,6/7/20,1.0975628091593881e-05,73
0.00025364225466464196,2.856670325209364e-06,0.00024086241373607372,1687,19,1602,6/8/20,9.923170603358866e-06,66
0.0002542436589436334,2.856670325209364e-06,0.00024296732871254378,1691,19,1616,6/9/20,8.419659905880281e-06,56
0.0002554464675016163,2.856670325209364e-06,0.0002437190840612831,1699,19,1621,6/10/20,8.870713115123824e-06,59
0.00025604787178060774,2.856670325209364e-06,0.0002453729458285096,1703,19,1632,6/11/20,7.818255626888782e-06,52
0.00025604787178060774,2.856670325209364e-06,0.0002453729458285096,1703,19,1632,6/12/20,7.818255626888782e-06,52
0.00025860383996632137,2.856670325209364e-06,0.0002491317225722061,1720,19,1657,6/13/20,6.615447068905893e-06,44
0.0002604080528032957,2.856670325209364e-06,0.00024973312685119754,1732,19,1661,6/14/20,7.818255626888782e-06,52
0.00026176121243102644,2.856670325209364e-06,0.00025018418006044114,1741,19,1664,6/15/20,8.720362045375922e-06,58
0.0002649185848957315,2.856670325209364e-06,0.00025018418006044114,1762,19,1664,6/16/20,1.1877734510080994e-05,79
0.00026762490415119304,2.856670325209364e-06,0.00025228909503691117,1780,19,1678,6/17/20,1.2479138789072493e-05,83
0.0002694291169881674,2.856670325209364e-06,0.00025228909503691117,1792,19,1678,6/18/20,1.4283351626046827e-05,95
0.0002694291169881674,2.856670325209364e-06,0.0002525897971764069,1792,19,1680,6/19/20,1.3982649486551078e-05,93
0.00027604456405707327,2.856670325209364e-06,0.00025469471215287695,1836,19,1694,6/20/20,1.849318157898694e-05,123
0.00027769842582429975,2.856670325209364e-06,0.000255747169641112,1847,19,1701,6/21/20,1.9094585857978386e-05,127
0.0002802543940100134,2.856670325209364e-06,0.0002574010314083385,1864,19,1712,6/22/20,1.9996692276465526e-05,133
0.0002832614154049706,3.0070213949572252e-06,0.0002587541910360692,1884,20,1721,6/23/20,2.1500202973944165e-05,143
0.00028822300070665,3.0070213949572252e-06,0.0002587541910360692,1917,20,1721,6/24/20,2.646178827562357e-05,176
0.0002927335327990859,3.0070213949572252e-06,0.0002619115635007743,1947,20,1742,6/25/20,2.7814947903354362e-05,185
0.0002927335327990859,3.0070213949572252e-06,0.0002619115635007743,1947,20,1742,6/26/20,2.7814947903354362e-05,185
0.0003049119694486626,3.0070213949572252e-06,0.00026687314880245375,2028,20,1775,6/27/20,3.5031799251251646e-05,233
0.0003155868954007608,3.0070213949572252e-06,0.0002689780637789238,2099,20,1789,6/28/20,4.3601810226879774e-05,290
0.00032460795958563245,3.0070213949572252e-06,0.00027303754266211604,2159,20,1816,6/29/20,4.856339552855918e-05,323
0.00033543323660747845,3.0070213949572252e-06,0.00027303754266211604,2231,20,1816,6/30/20,5.938867255040519e-05,395
0.00034625851362932446,3.0070213949572252e-06,0.00028055509614950913,2303,20,1866,7/1/20,6.26963960848581e-05,417
0.0003560313331629355,3.0070213949572252e-06,0.00028626843679992783,2368,20,1904,7/2/20,6.675587496805043e-05,444
0.0003560313331629355,3.0070213949572252e-06,0.00028626843679992783,2368,20,1904,7/3/20,6.675587496805043e-05,444
0.00038129031288057616,3.0070213949572252e-06,0.00029634195847303454,2536,20,1971,7/4/20,8.19413330125844e-05,545
0.00039993384552931095,3.3077235344529476e-06,0.0002994993309377396,2660,22,1992,7/5/20,9.712679105711836e-05,646
0.0004245914209679602,3.3077235344529476e-06,0.0003049119694486626,2824,22,2028,7/6/20,0.0001163717279848446,774
