date,Total Cases,Total Deaths,Total Recovered,Currently Positive,Currently Hospitalized,Currently Critical
2020-04-11,0.00019080313791974805,2.111655281325275e-06,0.0001487208648133372,3.997061782508556e-05,6.636630884165149e-06,2.2624878014199374e-06
2020-04-12,0.00019125563548003202,2.111655281325275e-06,0.00015309500789608243,3.6048972302624337e-05,6.636630884165149e-06,2.111655281325275e-06
2020-04-13,0.00019321645824126266,2.111655281325275e-06,0.00016214495910176217,2.89598438581752e-05,6.0333008037865e-06,3.921645522461225e-06
2020-04-14,0.00019472478344220926,2.111655281325275e-06,0.00016863075746583267,2.3982370695051337e-05,6.0333008037865e-06,4.0724780425558875e-06
2020-04-15,0.00019593144360296658,2.111655281325275e-06,0.00017149657534763126,2.232321297401005e-05,5.882468283691837e-06,4.524975602839875e-06
2020-04-16,0.0001962331086431559,2.111655281325275e-06,0.00017390989566914584,2.0211557692684774e-05,5.429970723407849e-06,3.921645522461225e-06
2020-04-17,0.00019638394116325056,2.111655281325275e-06,0.00017481489078971383,1.945739509221146e-05,4.8266406430292e-06,3.3183154420825747e-06
2020-04-18,0.0001989480940048598,2.111655281325275e-06,0.00017677571355094443,2.006072517259011e-05,4.524975602839875e-06,3.01665040189325e-06
2020-04-19,0.0002003055866857118,2.2624878014199374e-06,0.00017918903387245905,1.885406501183281e-05,4.374143082745212e-06,2.7149853617039246e-06
2020-04-20,0.00020045641920580644,2.2624878014199374e-06,0.00018039569403321634,1.7798237371170173e-05,4.22331056265055e-06,3.01665040189325e-06
2020-04-21,0.0002015122468464691,2.2624878014199374e-06,0.00018130068915378432,1.7949069891264838e-05,4.22331056265055e-06,3.1674829219879123e-06
2020-04-22,0.0002015122468464691,2.2624878014199374e-06,0.00018748482247766548,1.1764936567383675e-05,4.524975602839875e-06,3.1674829219879123e-06
2020-04-23,0.00020166307936656376,2.4133203215146e-06,0.00018869148263842277,1.0558276406626374e-05,4.0724780425558875e-06,2.564152841609262e-06
2020-04-24,0.00020256807448713172,2.4133203215146e-06,0.00018914398019870675,1.1010773966910362e-05,4.0724780425558875e-06,2.7149853617039246e-06
2020-04-25,0.00020302057204741572,2.4133203215146e-06,0.00019035064035946407,1.0256611366437049e-05,3.6199804822719e-06,2.7149853617039246e-06
2020-04-26,0.0002034730696076997,2.564152841609262e-06,0.00019080313791974805,1.0105778846342387e-05,3.1674829219879123e-06,2.2624878014199374e-06
2020-04-27,0.0002034730696076997,2.564152841609262e-06,0.000193065625721168,7.84329104492245e-06,3.469147962177237e-06,2.564152841609262e-06
2020-04-28,0.00020377473464788904,2.564152841609262e-06,0.00019291479320107332,8.295788605206437e-06,3.469147962177237e-06,2.564152841609262e-06
2020-04-29,0.000204227232208173,2.7149853617039246e-06,0.00019412145336183061,7.390793484638462e-06,2.8658178817985874e-06,2.2624878014199374e-06
2020-04-30,0.00020528305984883564,2.7149853617039246e-06,0.00019472478344220926,7.84329104492245e-06,2.7149853617039246e-06,2.111655281325275e-06
2020-05-01,0.00020573555740911964,2.7149853617039246e-06,0.0001950264484823986,7.994123565017112e-06,2.4133203215146e-06,1.80999024113595e-06
2020-05-02,0.00020679138504978227,2.7149853617039246e-06,0.00019608227612306125,7.994123565017112e-06,1.80999024113595e-06,1.80999024113595e-06
2020-05-03,0.00020875220781101287,2.7149853617039246e-06,0.00019608227612306125,9.954946326247724e-06,1.80999024113595e-06,1.80999024113595e-06
2020-05-04,0.00021207052325309547,2.7149853617039246e-06,0.00019759060132400785,1.1764936567383675e-05,1.6591577210412873e-06,1.80999024113595e-06
2020-05-05,0.00021463467609470472,2.7149853617039246e-06,0.00019774143384410252,1.4178256888898275e-05,1.80999024113595e-06,1.6591577210412873e-06
2020-05-06,0.00021719882893631398,2.7149853617039246e-06,0.00019924975904504915,1.523408452956091e-05,1.2066601607573e-06,1.6591577210412873e-06
2020-05-07,0.00021946131673773392,2.7149853617039246e-06,0.00019940059156514382,1.7345739810886188e-05,1.2066601607573e-06,1.6591577210412873e-06
2020-05-08,0.0002215729720190592,2.7149853617039246e-06,0.00020090891676609045,1.7949069891264838e-05,1.2066601607573e-06,1.508325200946625e-06
