t,TI,currently_infected,DR,recovered,D,deaths,TI+DR+D,total_cases
394.0,0.000763359161173252,0.0007169169144153,0.0010428601915588366,0.0008954633357318009,1.2365548404453276e-05,8.299072495800009e-06,0.0018185849011365417,0.0015140984475234993
395.0,0.0008115716426293313,0.0007659670674917,0.0011215913669964744,0.0009522300161800001,1.3239810064393132e-05,8.880153938600009e-06,0.0019464028196901988,0.0016204963624908992
396.0,0.0008616177300730786,0.0008109430639028,0.0012052355920382269,0.001018523065823701,1.4173835413346515e-05,9.494168208800012e-06,0.0020810271575246522,0.0017323794228158995
397.0,0.0009134708361255967,0.0008789471568883,0.0012939747831085128,0.0010734740497232009,1.5170406284846761e-05,1.0155752118599999e-05,0.002222616025518956,0.0018559960836105997
398.0,0.0009670962915779849,0.0009255573533773,0.0013879880279616082,0.0011445855379305994,1.6232312107439563e-05,1.07990400131e-05,0.0023713166316470325,0.001974361056201499
399.0,0.0010224512967754026,0.0009994776458386,0.0014874507736184774,0.0012048445617606,1.736234411742292e-05,1.1550640317599991e-05,0.002527264414511303,0.002109291972797399
400.0,0.0010794892486954567,0.0010771793587219,0.0015925338703003061,0.0012732921501545993,1.8563284760130018e-05,1.2310290868800002e-05,0.002690586403755893,0.0022562009246259
401.0,0.0011382094052332199,0.0011488016716738,0.001703407455935663,0.001359870357773501,1.9837893767805042e-05,1.31775219894e-05,0.0028614547549366876,0.002415268676317299
402.0,0.0011991319552719381,0.0012293019430425,0.001820243513240694,0.0014501458241445008,2.1188914286023705e-05,1.4158920244800008e-05,0.0030405643827986556,0.0025870258123123994
403.0,0.0012688306452340761,0.0013182022809109,0.0019435542269281441,0.0015514457374359008,2.261904170162157e-05,1.5257412997599993e-05,0.003235003913863842,0.0027783245562250005
404.0,0.0013481421726492364,0.0014118808061096,0.002074327187209024,0.001656961784470501,2.4130944301619698e-05,1.6442262942099995e-05,0.00344660030415988,0.002978703978402799
405.0,0.0014353445884350562,0.0014870100992554,0.002213441237278147,0.0017702126548921008,2.572728365628679e-05,1.7731034252999996e-05,0.00367451310936949,0.003168372913281099
406.0,0.0015286331986960715,0.0015789739219093,0.0023615975441378793,0.0018927769288923004,2.7410666469794914e-05,1.9211547803100004e-05,0.003917641409303746,0.0033843815234853997
407.0,0.0016262061677891086,0.0016768202793711,0.002519311913695002,0.002023660035084701,2.918358151302978e-05,2.0751340442599992e-05,0.00417470166299714,0.0036146507797790006
408.0,0.0017263214123834831,0.0017773598102707,0.0026869243856077595,0.0021651094559768,3.104830850924794e-05,2.24074957387e-05,0.00444429410650049,0.0038582958868668
409.0,0.0018273250453231479,0.0018683451620316,0.0028646060418668563,0.0023259958315794,3.3006822351606186e-05,2.4327845494300006e-05,0.004724937909541611,0.0041120879639859
410.0,0.001927667532738729,0.0019633461232091,0.003052367586479635,0.0024848879415248007,3.506069581375136e-05,2.6352848456900015e-05,0.005015095815032115,0.004368006038071399
411.0,0.0020259214110359166,0.002059149181693,0.0032500703179628608,0.0026453600953431997,3.7211019981393635e-05,2.84107842469e-05,0.005313202748980171,0.004626339186163699
412.0,0.002120787891956911,0.0021093131961749,0.003457439289007707,0.0028295694992851,3.945832531811775e-05,3.0438714571899992e-05,0.005617685506282736,0.004862740534912599
413.0,0.0022111031894298866,0.0021799233735658,0.003674076519637241,0.0030206904059299003,4.18025222288794e-05,3.2848665694400016e-05,0.0059269822312960066,0.0051268815700707005
414.0,0.0022958447680509276,0.0022576177680431,0.0038994745541778954,0.0032179214498115997,4.4242856257196095e-05,3.55162247109e-05,0.006239562178486019,0.0054044745674462005
415.0,0.0023741323118777772,0.0023201015873217,0.004133030993475172,0.0034357742983483,4.677787824768772e-05,3.807620315799999e-05,0.006553941183600637,0.0056873712137085995
416.0,0.0024452278637831382,0.0023921747140882,0.004374062127734909,0.0036553176986897,4.940543132183806e-05,4.065447762030001e-05,0.006868695422839886,0.0059815660152788
417.0,0.0025085346175382044,0.0024514055018638,0.0046218177808188795,0.0038806258075010994,5.2122650413095886e-05,4.3354237623600015e-05,0.0071824750487701795,0.006268804671868999
418.0,0.0025635929861939455,0.0024983816186568,0.004875494791475845,0.0041005102455658,5.492597788011545e-05,4.585493698150001e-05,0.0074940137555499055,0.0065381659260847005
419.0,0.0026100745934953978,0.0025227519109064,0.005134251259020568,0.0043351141937812004,5.781119266129009e-05,4.837905523880002e-05,0.007802137045177256,0.006799664284807
420.0,0.0026477756179698704,0.0025521257973935,0.005397218435225518,0.0045826439108167995,6.077344922493072e-05,5.1145412737400015e-05,0.008105767502420319,0.0070793342458283
421.0,0.0026766094894258787,0.0026100348810309,0.0056635124950482505,0.004823655855396701,6.380732082182475e-05,5.40581383576e-05,0.008403929305295954,0.007381167999665799
422.0,0.002696597792870639,0.0026676790383682,0.0059322441259267895,0.005066266139864601,6.690685161707975e-05,5.6923294338300014e-05,0.008695748770414508,0.007684287597451699
423.0,0.0027078560935897902,0.0027249689848511,0.006202537329967349,0.0052994371441693,7.006563932908413e-05,5.9987510964400016e-05,0.008980459062886224,0.0079778127648655
424.0,0.0027105880597714333,0.0027344272928702,0.006473528648357917,0.005582223282499901,7.32768864451032e-05,6.29712251236e-05,0.009257393594574453,0.008273040925374299
425.0,0.0027050740901693815,0.0027409165235421,0.006744378709444336,0.0058411909363994,7.653347258451373e-05,6.57295323755e-05,0.009525986272198231,0.008541256117197698
426.0,0.002691661035303794,0.0027189495958495,0.007014279160884015,0.006101786203811301,7.982802900848995e-05,6.85661465725e-05,0.0097857682251963,0.008782721071113902
427.0,0.00267075142500946,0.0027108100646063,0.00728246012754239,0.0063618369818108,8.315300600249885e-05,7.164353632950001e-05,0.01003636455855435,0.0090377097076272
428.0,0.0026427893018588174,0.0027155128723539,0.007548193916883001,0.0066195773390105,8.650075483081331e-05,7.465871963490001e-05,0.010277483973572633,0.0093031680558799
429.0,0.0026082592713557065,0.0027113911460491,0.007810797688618459,0.0068718984165073,8.986354494669499e-05,7.75860820673e-05,0.01050892050492086,0.0095542947695043
430.0,0.002567663092734614,0.0026886374897028,0.008069641880848107,0.0071304569715068995,9.323373622301309e-05,8.04329420328e-05,0.010730538709805735,0.009792946528122999
431.0,0.0025215311841398245,0.0026481345030884,0.008324145675651163,0.0073957030859832,9.66037354779402e-05,8.3416656192e-05,0.010942280595268927,0.010020673370144199
432.0,0.0024704004124494394,0.0025738812231504,0.008573781581411788,0.0076728811297339,9.996610084645765e-05,8.642159372880002e-05,0.011144148094707684,0.010226603071493699
433.0,0.0024148080963945105,0.0024544214170097,0.008818076070261754,0.0079820369488554,0.00010331358623360294,8.958973172129999e-05,0.011336197752889866,0.010419467222467
434.0,0.0023552914694309215,0.0023614439951136,0.00905661246961474,0.0082673457417621,0.0001066392099465814,9.290423783530001e-05,0.011518543148992243,0.0106151130995916
