Total Cases,Deaths,Recovered,Date,Currently Positive
3.186284125926112e-07,0.0,4.2483788345681495e-08,2/27/20,2.761446242469297e-07
6.797406135309039e-07,0.0,4.2483788345681495e-08,2/28/20,6.372568251852224e-07
9.558852377778337e-07,0.0,4.2483788345681495e-08,2/29/20,9.134014494321522e-07
1.7843191105186227e-06,0.0,4.2483788345681495e-08,3/1/20,1.7418353221729413e-06
2.5490273007408896e-06,0.0,4.2483788345681495e-08,3/2/20,2.506543512395208e-06
3.5049125385187235e-06,2.1241894172840747e-08,4.2483788345681495e-08,3/3/20,3.441186856000201e-06
4.715700506370646e-06,4.2483788345681495e-08,4.2483788345681495e-08,3/4/20,4.630732929679283e-06
5.501650590765753e-06,6.372568251852224e-08,4.2483788345681495e-08,3/5/20,5.3954411199015495e-06
8.4967576691363e-06,1.0620947086420374e-07,4.2483788345681495e-08,3/6/20,8.348064409926415e-06
1.0620947086420373e-05,2.1241894172840748e-07,6.372568251852224e-07,3/7/20,9.771271319506743e-06
1.4295794778321822e-05,3.611122009382927e-07,6.372568251852224e-07,3/8/20,1.3297425752198308e-05
2.2792552447458122e-05,5.94773036839541e-07,6.797406135309039e-07,3/9/20,2.1518038797087677e-05
3.6005010622965064e-05,7.434662960494262e-07,6.797406135309039e-07,3/10/20,3.458180371338473e-05
4.836779303155838e-05,1.1470622853334003e-06,3.887266633629857e-06,3/11/20,4.333346411259512e-05
4.836779303155838e-05,1.168304179506241e-06,3.887266633629857e-06,3/12/20,4.331222221842229e-05
0.00011113759031230279,2.8251719249878194e-06,4.099685575358264e-06,3/13/20,0.0001042127328119567
0.00013575694565862522,4.142169363703946e-06,1.0982059287358666e-05,3/14/20,0.00012063271700756261
0.00016564429075981214,6.138907415950976e-06,1.0982059287358666e-05,3/15/20,0.0001485233240565025
0.0002111869118663827,7.2647278071115354e-06,1.1258203911605596e-05,3/16/20,0.00019266398014766557
0.0002495497727425331,1.1321929594124119e-05,2.183666720968029e-05,3/17/20,0.0002163911759387287
0.0002954747479442148,1.3233700069679785e-05,2.2962487600840846e-05,3/18/20,0.0002592785602736942
0.00038156814502673833,1.763077216345782e-05,2.3514776849334707e-05,3/19/20,0.0003404225960139458
0.00043354706006767967,2.2155295622272898e-05,3.373212794647111e-05,3/20/20,0.00037765963649893567
0.0005389918227416611,2.9207604487656027e-05,4.513902511728659e-05,3/21/20,0.0004646451931367185
0.0006110868115642826,3.7640636474273803e-05,5.469787749506493e-05,3/22/20,0.0005187482975949439
0.0007463551936569325,4.9090017433434964e-05,5.469787749506493e-05,3/23/20,0.0006425672987284325
0.0008472329490837532,5.9647238837336816e-05,8.05917464917578e-05,3/24/20,0.0007069939637546585
0.0010517923899682096,7.74691880483502e-05,0.0001140052460256363,3/25/20,0.0008603179558942231
0.0012274840966717754,9.272086806444986e-05,0.00014901188762247785,3/26/20,0.0009857513409848478
0.001395996043144921,0.00010914085226005576,0.00019876040377527087,3/27/20,0.0010880947871095945
0.0015556501197479921,0.00012706901094193334,0.0002609566699133486,3/28/20,0.0011676244388927103
0.0017016881421862723,0.0001445086060578356,0.00031244702138831455,3/29/20,0.0012447325147401222
0.0018683520438663808,0.0001639024554376392,0.0003564389842202677,3/30/20,0.0013480106042084738
0.002037586214741403,0.00017979139227892408,0.00040909763987474,3/31/20,0.001448697182587739
0.002211663537487833,0.0001993976606004561,0.0004810651773323244,4/1/20,0.0015312006995550523
