Total Cases,Deaths,Recovered,Total Cases Number,Deaths Number,Recovered Number,Date,Currently Positive,Currently Positive Number
0.0002388611242366096,1.005071780094112e-05,3.280649727310158e-05,16018,674,2200,3/22/20,0.0001960039091625669,13144
0.0002960935499339568,1.2824358024939708e-05,3.280649727310158e-05,19856,860,2200,3/23/20,0.00025046269463591554,16796
0.00033259823417238984,1.640324863655079e-05,4.835975938939474e-05,22304,1100,3243,3/24/20,0.0002678352261464443,17961
0.00037627561167826004,1.9847930850226453e-05,5.8156972438680073e-05,25233,1331,3900,3/25/20,0.0002982707083893535,20002
0.00043476064908967114,2.5290826988718306e-05,7.378479477604846e-05,29155,1696,4948,3/26/20,0.00033568502732490434,22511
0.000491560625504782,2.9749528209017113e-05,8.499865202576318e-05,32964,1995,5700,3/27/20,0.0003768124452700017,25269
0.0005603200613803599,3.450647031361684e-05,8.499865202576318e-05,37575,2314,5700,3/28/20,0.0004408149390409799,29561
0.0005990764642952649,3.8860787224410324e-05,0.00010739654243676253,40174,2606,7202,3/29/20,0.0004528191346340921,30366
0.0006643315697803069,4.5094021706299626e-05,0.00011820777449267101,44550,3024,7927,3/30/20,0.0005010297735813363,33599
0.0007773350408419268,5.253513176960767e-05,0.00014082934556689604,52128,3523,9444,3/31/20,0.0005839705635054232,39161
0.0008498224877712663,6.565773067884829e-05,0.00016304829144731485,56989,4403,10934,4/1/20,0.0006211164656451031,41652
0.000881376373330304,8.033118218645374e-05,0.00018532688550459384,59105,5387,12428,4/2/20,0.0006157183056392564,41290
0.0009594111007076407,9.703267170730545e-05,0.0002088879153643668,64338,6507,14008,4/3/20,0.0006534905136359685,43823
0.0010230407933732426,0.00011273505426574906,0.0002302121385918828,68605,7560,15438,4/4/20,0.0006800936005156106,45607
0.001050971052188024,0.00012045949316914298,0.0002413216115320922,70478,8078,16183,4/5/20,0.0006891899474867889,46217
0.0011093069691572848,0.00013288122600027644,0.0002572327627095465,74390,8911,17250,4/6/20,0.0007191929804474619,48229
0.001165629760157514,0.00015401159265299687,0.00028835419898634785,78167,10328,19337,4/7/20,0.0007232639685181693,48502
0.0012235034037561083,0.00016207900857333684,0.00031694058774659134,82048,10869,21254,4/8/20,0.0007444838074361802,49925
0.0012874164252617963,0.00018207605986571377,0.00034604889805436146,86334,12210,23206,4/9/20,0.000759291467341721,50918
0.0013521645212435267,0.00019679424750596435,0.00037178708636953115,90676,13197,24932,4/10/20,0.0007835831873680313,52547
0.0013986006269291805,0.00020626339558251866,0.0003935437588792835,93790,13832,26391,4/11/20,0.0007987934724673783,53567
0.0017988846297936649,0.00021462905238715956,0.0004053988340302452,120633,14393,27186,4/12/20,0.0011788567433762601,79054
0.0018535372718418092,0.00022318856576659607,0.0004133320415526498,124298,14967,27718,4/13/20,0.0012170166645225633,81613
0.001927486099104223,0.00023429803870680545,0.00042517220465939645,129257,15712,28512,4/14/20,0.0012680158557380212,85033
0.0019754432332998117,0.00025571173419961174,0.00045392262590600546,132473,17148,30440,4/15/20,0.0012658088731941945,84885
0.0021614113367056523,0.0002669405034935415,0.00048161429201334623,144944,17901,32297,4/16/20,0.0014128565411987645,94746
0.0021909222722072286,0.0002782736570969766,0.0005045341039718722,146923,18661,33834,4/17/20,0.00140811451113838,94428
0.002190668767455573,0.00028784718948303623,0.0005275732122841185,146906,19303,35379,4/18/20,0.001375248365688418,92224
0.0022637676081977295,0.0002936777987711193,0.0005364309665478559,151808,19694,35973,4/19/20,0.0014336588428787542,96141
0.002299258273429539,0.0003018197749125345,0.0005484948103178283,154188,20240,36782,4/20/20,0.0014489436881991763,97166
0.0023400128902692605,0.00030964859812543377,0.0005747549201805246,156921,20765,38543,4/21/20,0.0014556093719633022,97613
0.0023071169207308684,0.0003177607501784189,0.0005963028240712664,154715,21309,39988,4/22/20,0.0013930533464811832,93418
0.00234157865491184,0.0003254553649933827,0.0006175673991219222,157026,21825,41414,4/23/20,0.0013985558907965352,93787
0.0023655870460980648,0.0003312561501930357,0.0006369679686456973,158636,22214,42715,4/24/20,0.001397362927259332,93707
0.002390281391318181,0.0003367586945083877,0.0006533861293264631,160292,22583,43816,4/25/20,0.0014001365674833305,93893
0.0023985575758575317,0.00034036740920842886,0.0006579939509889123,160847,22825,44125,4/26/20,0.0014001962156601905,93897
0.0024543584453102342,0.00034688397253040406,0.0006670604738716604,164589,23262,44733,4/27/20,0.00144041399890817,96594
0.0024993331706628136,0.000352356692757326,0.0006859092977594788,167605,23629,45997,4/28/20,0.0014610671801460087,97979
0.002461874115594618,0.0003587241356371507,0.0007059063490518557,165093,24056,47338,4/29/20,0.0013972436309056114,93699
0.0024718800972629135,0.00036303371641529907,0.0007243078116132227,165764,24345,48572,4/30/20,0.0013845385692343917,92847
0.0024718800972629135,0.00036628454205417914,0.0007351637798017763,165764,24563,49300,5/1/20,0.0013704317754069581,91901
0.0024899534948515495,0.0003687599413938768,0.0007418891117427621,166976,24729,49751,5/2/20,0.0013793044417149108,92496
0.0024943674599392034,0.000370773067362908,0.0007451995855585024,167272,24864,49973,5/3/20,0.001378394807017793,92435
0.0025035234550872414,0.00037530632880428203,0.0007521336861184988,167886,25168,50438,5/4/20,0.0013760834401644606,92280
0.002519166189468825,0.0003802273033952473,0.0007724886264720369,168935,25498,51803,5/5/20,0.0013664502596015407,91634
0.002571805705547938,0.00038431320351016993,0.0007906664083701781,172465,25772,53022,5/6/20,0.00139682609366759,93671
0.0025803801309715897,0.00038695263533623315,0.0008063837029728368,173040,25949,54076,5/7/20,0.0013870437926625197,93015
0.0025994377234784187,0.0003905762620804893,0.0008167326616580788,174318,26192,54770,5/8/20,0.0013921287997398506,93356
0.002605999022933039,0.00039175431357347796,0.0008184624587870242,174758,26271,54886,5/9/20,0.001395782250572537,93601
0.0026100103628268864,0.0003927981566685312,0.0008210869785688724,175027,26341,55062,5/10/20,0.0013961252275894829,93624
0.0026167506068120873,0.00039672002429708836,0.0008286473849859008,175479,26604,55569,5/11/20,0.001391383197529098,93306
0.0026276065750006406,0.0004018945036397094,0.0008442752073232691,176207,26951,56617,5/12/20,0.0013814368640376622,92639
0.00262423645300804,0.00040310237922112815,0.0008554741525287688,175981,27032,57368,5/13/20,0.0013656599212581433,91581
